company_name,contact,address,city,state,zip,country,phone,email,fax,notes,operations,commodities,url
Double V International Inc,,230 W 55th St,NEW YORK,NY,10019,USA,(212) 527-7548,,(212) 527-7549,,"Distributor, Importer, Shipper, Produce,","Fruits, Hothouse Peppers, Hothouse Tomato, Kiwi, Mangoes, Melons, Mexican Vegetable, Peppers, Vegetables,",
Driscoll Strawberry Associates Inc,,PO Box 945,SANTA MARIA,CA,93456-0945,USA,(805) 925-5770,,(805) 928-7320,,"Grower, Shipper, Produce,","Raspberries, Strawberries,",
Driscoll Strawberry Associates Inc,,PO Box 20725,OXNARD,CA,93034-0725,USA,(805) 488-0034,,(805) 488-0455,,"Grower, Shipper, Produce,","Blueberries, Raspberries, Strawberries,",
Driscoll Strawberry Associates Inc,,PO BOX 50045,WATSONVILLE,CA,95077-5045,USA,(831) 763-5000,sales@driscolls.com,(831) 761-5988,,"Exporter, Grower, Importer, Shipper, Produce,","Blackberries, Blueberries, Organic, PMA Member, Raspberries, Strawberries,",Http://www.driscolls.com
Duckwall-Pooley Fruit Co,,PO BOX 150,ODELL,OR,97044-0150,USA,(541) 354-1651,,,,"Broker, Exporter, Packer, Sales Agency, Shipper, Produce,","Pears, PMA Member,",
Duda Farm Fresh Foods Inc,,5970 Three Notch Rd,IRON CITY,GA,39859,USA,(229) 774-2755,,(229) 774-2873,,"Fresh Cut Processor, Grower, Shipper, Produce,","Cabbage, Carrots, Celery, Endive, Escarole, Radishes, Sweet Corn,",
Duda Farm Fresh Foods Inc,,PO Box 399,GRANDVILLE,MI,49315-0399,USA,(616) 583-0604,,(616) 583-0754,,"Shipper, Produce,","Cabbage, Radishes, Sweet Corn,",
Duda Farm Fresh Foods Inc,,1926 S Conyer St,VISALIA,CA,93277-4617,USA,(559) 627-1337,,(559) 627-3665,,"Grower, Shipper, Produce,","Clementine, Oranges, Valencia Orange,",
Duda Processing and Distribution Center,,600 Cassidy Rd,THOMASVILLE,GA,31792,USA,(229) 228-6808,,(229) 228-6865,,"Shipper, Produce,","Processed Vegetables,",Http://www.duda.com
Durant Distributing Inc,,PO BOX 1370,SANTA MARIA,CA,93456-1370,USA,(805) 349-2820,,(805) 349-9401,,"Broker, Distributor, Shipper, Produce,","Bok Choy, Broccoli, Carrots, Cauliflower, Celery, Fruits, Lettuce, Mixed Vegetables, Napa, Strawberries, Vegetables,",
Dyk Bros Inc,,PO BOX 96,GRANT,MI,49327-0096,USA,(231) 834-5615,,(231) 834-8484,,"Grower, Packer, Shipper, Produce,","Onions,",
E & L Produce,,1410 E & L Loop,WASHINGTON,LA,70589-5515,USA,(337) 363-7962,,(337) 363-7960,,"Grower, Shipper, Produce,","Sweet Potatoes, Yam,",
Eakin Fruit Co,,PO Box 3063,UNION GAP,WA,98903-0063,USA,(509) 248-0803,michaelr@eakinfruit.com,(509) 248-9106,,"Packer, Shipper, Produce,","Apples, Fruits, Pears, Plums, PMA Member, Prunes,",
Eckel Marketing a dba of Frank S Eckel Inc,,PO BOX 1011,SALINAS,CA,93902-1011,USA,(831) 755-1350,,(831) 755-1357,,"Buying Broker, Broker, Distributor, Grower, Shipper, Produce,","Green Beans, Green Peas, Squash, Tomatoes,",
Eco-Farm Corporation,,28790 LAS HACIENDAS ST,TEMECULA,CA,92590-2692,USA,(951) 676-4047,staft@ecofarmsusa.com,(951) 676-1676,,"Grower, Packer, Shipper, Produce,","Avocados, Citrus Fruits, Fuyu Persimmon, Grapefruit, Lemons, Oranges, PMA Member, Tangelos, Tangerines,",
Elite Mushroom Company Inc,,PO BOX 508,AVONDALE,PA,19311-0508,USA,(610) 268-3533,,(610) 268-3203,,"Grower, Packer, Shipper, Produce,","Fresh Cut, Mushrooms,",
"Elliot & Son, David J",,PO BOX E,COURTLAND,CA,95615-0994,USA,(916) 775-1614,dave@stillwaterorchards.com,(916) 775-2183,,"Grower, Shipper, Produce,","Cherries, Kiwi, Pears, PMA Member,",Http://www.stillwaterorchards.com
Etheridge Produce LLC,,3001 BARNSLEY TRAIL,RALEIGH,NC,27604-5977,USA,(919) 231-7546,,,,"Grower, Jobber, Shipper, Produce,","Melons,",
"Eubanks & Sons Farm Produce Inc, Ralph",,1840 MOUNT ZION RD,SALE CITY,GA,31784-4018,USA,(229) 294-8657,,(229) 294-0574,,"Grower, Packer, Shipper, Produce,","Cabbage, Cantaloupes, Collards, Kale, Mustard Greens, Turnips,",
Evergreen Fresh Farms Inc,,500 Mateo St,LOS ANGELES,CA,90013-2222,USA,(213) 617-9885,,(213) 617-0063,,"Packer, Shipper, Produce,","Citrus Fruits, Cucumbers, Lettuce, Melons, Peppers, Squash, Tomatoes,",
Evergreen International Inc,,"2404 S Wolcott Ave, Units 8-9",CHICAGO,IL,60608-5390,USA,(312) 421-6434,,(312) 421-4289,,"Jobber, Shipper, Produce,","Fruits, Vegetables,",
F & S Produce Co Inc,,PO BOX 489,ROSENHAYN,NJ,08352-0489,USA,(800) 886-3316,spipitone@freshcutproduce.com,(856) 453-0494,,"Fresh Cut Processor, Processor, Shipper, Produce,","Beets, Broccoli, Cabbage, Carrots, Cauliflower, Celery, Cucumbers, Eggplant, Endive, Escarole, Fruits, Garlic, Green Onions, Lettuce, Onions, Peppers, Potatoes, Radishes, Romaine, Spinach, Squash, Tomatoes, Turnips, Vegetables,",Http://www.freshcutproduce.com
Fagerberg Produce Co,,PO BOX 8,EATON,CO,80615-0008,USA,(970) 834-1353,alan@fagerbergproduce.com,(970) 834-1434,,"Grower, Shipper, Produce,","Onions,",Http://www.fagerbergproduce.com
Farmers Potato Exchange Inc,,PO BOX 53,ANTIGO,WI,54409-0053,USA,(715) 623-3746,fpxdave@newnorth.net,(715) 623-3748,,"Buying Broker, Grower, Shipper, Produce,","Potatoes, Seed Potatoes,",
Faw & Sons Produce,,12488 STATE ROUTE 28 W,QUINCY,WA,98848-9011,USA,(509) 787-2612,,(509) 787-1200,,"Grower, Shipper, Produce,","Onions,",
Fazio Marketing Inc,,2500 S FOWLER AVE,FRESNO,CA,93725-9308,USA,(559) 486-3030,dfazio@faziomarketing.com,(559) 486-7627,,"Broker, Exporter, Grower, Sales Agency, Shipper, Produce,","Blueberries, Grapes, PMA Member,",Http://www.faziomarketing.com
"Fields & Sons Inc, Ed",,15421 ROUND LAKE BLVD NW,ANOKA,MN,55304-3034,USA,(763) 421-5283,cpfields@quest.net,(763) 421-0173,,"Cold Storage, Grower, Packer, Shipper, Produce,","Beets, Carrots, Green Onions, Parsnips, Potatoes, Radishes, Rutabaga, Squash, Turnips,",
"Fierman & Son Inc, Joseph",,71 Cross Rd,GOSHEN,NY,10924-6301,USA,(845) 651-7266,,(845) 651-2206,,"Shipper, Produce,","Onions,",
Five Forks Fruit,,3966 CLAY HILL RD,WAYNESBORO,PA,17268-9387,USA,(717) 762-3439,,(717) 765-4158,,"Grower, Packer, Repacker, Shipper, Produce,","Apples, Nectarines, Peaches,",Http://www.fiveforksfruit.com
Flaim Farms Inc,,1958 PANTHER RD,VINELAND,NJ,08361-6834,USA,(856) 691-4980,,(856) 692-3789,,"Grower, Packer, Shipper, Produce,","Beets, Cabbage, Eggplant, Green Onions, Greens, Herbs, Leeks, Lettuce, Peppers, Romaine, Spinach, Vegetables, Zucchini,",
Flamm Orchards Sales Inc,,8760 OLD HIGHWAY 51 N,COBDEN,IL,62920-3089,USA,(618) 893-4322,,(618) 893-4323,,"Broker, Grower, Packer, Shipper, Produce,","Apples, Cucumbers, Eggplant, Peaches, Peppers, Squash,",
Florance Distributing Co Inc,,4555 Pacific Blvd,VERNON,CA,90058-2207,USA,(323) 585-1172,flordist@florance.com,(323) 585-3328,,"Broker, Shipper, Produce,","Cantaloupes, Carrots, Cauliflower, Celery, Fruits, Grapes, Lettuce, Mixed Vegetables, Onions, Strawberries, Tomatoes,",Http://www.florance.com
FoodSource Nogales a C H Robinson Company,,"2420 N Frank Reed Rd, # D",NOGALES,AZ,85621,USA,(520) 761-1348,,(520) 761-2858,,"Broker, Distributor, Exporter, Grower, Importer, Sales Agency, Shipper, Produce,","Apples, Apricots, Avocados, Beets, Bibb Lettuce, Blackberries, Blueberries, Broccoli, Brussels Sprouts, Cabbage, Cantaloupes, Cantaloupes, Carrots, Cauliflower, Celery, Cherries, Citrus Fruits, Endive, Figs, Garlic, Grapes, Green Beans, Green Peas, Greens, Honeydew Melons, Kiwi, Leeks, Lemons, Lettuce, Limes, Mangoes, Melons, Nectarines, Organic, Papayas, Peaches, Pears, Peppers, Pineapples, Plums, Potatoes, Pumpkins, Radishes, Raspberries, Romaine, Rutabaga, Salads, Spinach, Squash, Strawberries, Sweet Potatoes, Tomatoes, Turnips, Watermelons,",
"FoodSource, a C H Robinson Company",,"100 Wilson Rd, Ste 200",MONTEREY,CA,93940-7885,USA,(831) 647-3090,administrator@buyfoodsource.com,(831) 647-3095,,"Broker, Distributor, Exporter, Grower, Importer, Sales Agency, Shipper, Produce,","Apples, Apricots, Artichokes, Asparagus, Avocados, Beets, Bibb Lettuce, Blackberries, Blueberries, Broccoli, Brussels Sprouts, Cabbage, Cantaloupes, Cantaloupes, Carrots, Cauliflower, Celery, Cherries, Citrus Fruits, Endive, Figs, Garlic, Grapes, Green Beans, Green Peas, Greens, Honeydew Melons, Kiwi, Leeks, Lemons, Lettuce, Limes, Mangoes, Melons, Nectarines, Organic, Papayas, Peaches, Pears, Peppers, Pineapples, Plums, Potatoes, Pumpkins, Radishes, Raspberries, Romaine, Rutabaga, Salads, Spinach, Squash, Strawberries, Sweet Potatoes, Tomatoes, Turnips, Watermelons,",Http://www.buyfoodsource.com
Forrence Orchards Inc,,2731 STATE ROUTE 22,PERU,NY,12972-4732,USA,(518) 643-9527,,(518) 643-9509,,"Exporter, Grower, Shipper, Produce,","Apples,",
Fresh 1 Marketing Inc,,,NOGALES,AZ,0,USA,(480) 607-1220,bob.biesterfeld@chrobinson.com,,,"Broker, Customs Broker, Distributor, Executive Headquarters, Exporter, Freight Contractor, Importer, Intermodal Transp, Repacker, Shipper, Produce, Transportation,","Fruits, Vegetables,",
Fresh 1 Marketing Inc,,,MINNEAPOLIS,MN,55344,USA,,,,,"Broker, Customs Broker, Distributor, Executive Headquarters, Exporter, Freight Contractor, Importer, Intermodal Transp, Repacker, Shipper, Produce, Transportation,","Fruits, Vegetables,",
Fresh Kist Produce LLC,,PO BOX 3617,SALINAS,CA,93912-3617,USA,(877) 886-7650,,(831) 455-8033,,"Grower, Packer, Shipper, Produce,","Broccoli, Brussels Sprouts, Cabbage, Cauliflower, Celery, Escarole, Leeks, Lettuce, Mixed Vegetables, PMA Member, Radishes, Roma, Romaine, Spinach, Spring Mix, Strawberries,",Http://www.freshkist.com
Fresh Kist Produce LLC,,PO Box 119,GUADALUPE,CA,93434-0119,USA,(877) 387-5006,,(805) 343-3309,,"Grower, Packer, Shipper, Produce,","Broccoli, Brussels Sprouts, Cabbage, Cauliflower, Celery, Lettuce, Mixed Vegetables, Radishes, Roma, Romaine, Spinach, Spring Mix, Strawberries,",Http://www.freshkist.com
Fresh Start Produce Sales Inc,,,MORVEN,GA,31638,USA,(229) 263-7501,,(229) 263-8652,,"Sales Agency, Shipper, Produce,","Cabbage, Cucumbers, Green Beans, Peppers, Squash,",
Fresh Start Produce Sales Inc,,2260 Jones Ferry Rd,ELBERTON,GA,30635-4637,USA,(706) 283-0096,,(706) 283-0192,,"Broker, Fresh Cut Processor, Sales Agency, Shipper, Produce,","Cucumbers, Mixed Vegetables, Southern Veg,",
Freska Produce International LLC,,511 Mountain View Ave,OXNARD,CA,93030,USA,(805) 650-1040,chuy@freskaproduce.com,(805) 650-3550,,"Exporter, Importer, Shipper, Produce,","Limes, Mangoes,",Http://www.freskaproduce.com
Freyco Produce Inc,,10146 S State Rd 241,DECKER,IN,47524-7110,USA,(812) 769-2400,,(812) 769-5100,,"Broker, Grower, Packer, Repacker, Shipper, Produce,","Cantaloupes, Fresh Cut, Fruits, Grapefruit, Onions, Oranges, Organic, Potatoes, Tomatoes, Vegetables, Watermelons,",
Fruit Royale Inc,,PO Box 970,DELANO,CA,93216-0970,USA,(661) 720-2740,lgalvan@fruitroyale.com,(661) 720-2745,,"Buying Broker, Broker, Shipper, Produce,","Cherries, Citrus Fruits, Fruits, Grapes, Melons, Stone Fruit, Vegetables,",
Fruit Royale Inc,,10165 Buffton Dr,ST LOUIS,MO,63123-5205,USA,(314) 638-7949,pwoodling@fruitroyals.com,(314) 638-3505,,"Buying Broker, Exporter, Importer, Shipper, Produce,","Avocados, Cherries, Citrus Fruits, Grapes, Melons, Mixed Vegetables, Potatoes, Stone Fruit, Strawberries, Vegetables,",Http://www.fruitroyale.com
"Funderburk Co Inc, G A",,PO BOX 338,JEFFERSON,SC,29718-0338,USA,(843) 658-3405,,(843) 658-3313,,"Broker, Packer, Shipper, Produce,","Watermelons,",
Garber Farms,,3405 DESCANNES HWY,IOTA,LA,70543-3118,USA,(337) 824-6328,layamla@aol.com,(337) 824-2676,,"Grower, Packer, Shipper, Produce,","PMA Member, Sweet Potatoes,",
"Gardikas Produce Co Inc, Dimetri",,14811 MARQUARDT AVE,SANTA FE SPRINGS,CA,90670-5126,USA,(562) 404-4779,,(562) 407-3888,,"Distributor, Food Service, Grower, Jobber, Repacker, Shipper, Produce,","Cantaloupes, Christmas Trees, Citrus Fruits, Dried Beans, Honeydew Melons, Melons, Oranges, PMA Member, Pumpkins, Squash, Watermelons,",
"Gilliland Melons L L C, Ray",,206 DEERWOOD DR,PRATTVILLE,AL,36067-3831,USA,(334) 365-6977,,(334) 361-7560,,"Grower, Shipper, Produce,","Pumpkins, Watermelons,",
"Gilliland Melons L L C, Ray",,382 FINLEY AVE W,BIRMINGHAM,AL,35204-1050,USA,(205) 251-7464,,(334) 361-7560,,"Grower, Shipper, Produce,","Fruits, Vegetables, Watermelons,",
Global Fruit Marketing Inc,,41 ORCHARD ST,RAMSEY,NJ,07446-1158,USA,(201) 818-1533,roberto@globalfruitmarketing.com,(201) 818-4566,,"Broker, Importer, Shipper, Produce,","Asparagus, Fruits, Garlic, Grapes, Melons, Nectarines, Pears, Plums, Vegetables,",
Gloucester County Packing Co (Inc),,PO BOX 178,WOODBURY,NJ,08096-7178,USA,(856) 845-0195,,(856) 384-1798,,"Repacker, Shipper, Produce,","Onions, Potatoes,",
"Goddard Co Inc, Steven",,1400 E OLYMPIC BLVD STE 206,LOS ANGELES,CA,90021-1945,USA,(213) 624-9582,,,,"Distributor, Shipper, Produce,","Apples, Cantaloupes, Fruits, Grapes, Honeydew Melons, Nectarines, Peaches, Plums,",
Gold Coast Packing Co Inc,,PO BOX 1023,SANTA MARIA,CA,93456-1023,USA,(805) 928-2593,sales@goldcoastpack.com,(805) 922-8719,,"Food Service, Grower, Processor, Shipper, Produce,","Broccoli, Cauliflower, Celery, Cilantro, Fresh Cut, Green Onions, Herbs, Lettuce, Mixed Vegetables, PMA Member, Spinach, Strawberries,",Http://www.goldcoastpack.com
Gold Ribbon Potato Co,,PO BOX 178,ARVIN,CA,93203-0178,USA,(661) 854-4421,,(661) 854-3805,,"Grower, Packer, Shipper, Produce,","Potatoes,",
Golden West Produce LLC,,PO Box 456,PARMA,ID,83660-0456,USA,(541) 372-3122,goldenwestproduce@msn.com,(541) 372-3186,,"Grower, Packer, Shipper, Produce,","Onions,",
Gourmet Trading Company,,PO BOX 88432,LOS ANGELES,CA,90009-8432,USA,(310) 216-7575,chrismartin@gourmettrading.net,(310) 216-7676,,"Distributor, Exporter, Importer, Shipper, Produce,","Apricots, Asparagus, Blackberries, Blueberries, Fruits, Limes, Mangoes, Melons, Papayas, Raspberries, Vegetables,",Http://www.gourmettrading.net
Gourmet Trading Company,,PO Box 3186,PASCO,WA,99302-3186,USA,(509) 543-1191,,(509) 543-9722,,"Distributor, Exporter, Importer, Shipper, Produce,","Apricots, Asparagus, Blackberries, Blueberries, Fruits, Limes, Mangoes, Melons, Papayas, Raspberries, Vegetables,",
GPOD of Idaho,,PO BOX 514,SHELLEY,ID,83274-0514,USA,(208) 357-7691,gpod@gpod.org,(208) 357-5151,,"Shipper, Produce,","Potatoes,",
Great West Produce Inc,,2600 S EASTERN AVE,LOS ANGELES,CA,90040-1402,USA,(323) 869-0200,,(323) 869-0202,,"Buying Broker, Shipper, Produce,","Apples, Apricots, Artichokes, Asparagus, Beets, Broccoli, Cabbage, Cantaloupes, Carrots, Cauliflower, Celery, Cherries, Chili, Escarole, Grapefruit, Grapes, Green Beans, Green Peas, Greens, Herbs, Honeydew Melons, Leeks, Lemons, Lettuce, Limes, Mandarin Orange, Melons, Mixed Vegetables, Napa, Nectarines, Oranges, Organic, Peaches, Pears, Plums, Pumpkins, Romaine, Rutabaga, Spinach, Sprouts, Squash, Strawberries, Sweet Corn, Tangelos,",
Green Circles Farm,,1393 YATES SPRING RD,BRINSON,GA,39825-2017,USA,(229) 246-6165,pgcfarms@surfsouth.com,(229) 246-8135,,"Grower, Shipper, Produce,","Peppers, Squash, Sweet Corn,",
Green Star Produce Marketing,,430 Tallyho Rd,SANTA MARIA,CA,93455,USA,(805) 937-9530,robert.greenstarproduce@verizon.net,(805) 926-4622,,"Distributor, Shipper, Produce,","Anise, Artichokes, Basil, Beets, Bok Choy, Cabbage, Celery, Celery Root, Celery Root, Chard, Chives, Cilantro, Collards, Daikon, Daikon, Dill, Endive, Greens, Herbs, Kale, Kohlrabi, Leeks, Mint, Mustard Greens, Napa, Parsley, Radicchio, Rappini, Romaine, Snowpeas, Specialty Fruit, Spinach, Turnips, Watercress,",
GreenLine Foods Inc,,PO Box 1110,BOWLING GREEN,OH,43402-1110,USA,(419) 354-1149,glcustomerservice@greenlinebeans.com,(419) 352-2146,,"Fresh Cut Processor, Grower, Packer, Shipper, Produce,","Green Beans, PMA Member, Snowpeas,",Http://www.greenlinebeans.com
Greenridge Fruit Inc,,5154 PEACH RIDGE AVE NW,GRAND RAPIDS,MI,49544-9759,USA,(616) 784-2770,sales@greenridgefruit.com,(616) 784-5162,,"Exporter, Packer, Shipper, Produce,","Apples, Asparagus, Blueberries, Fruits, Peaches, Plums, Pumpkins, Vegetables,",Http://www.greenridgefruit.com
Griffin Holder Co Inc,,"525 E Lomhan, Ste A",LAS CRUCES,NM,88001-3394,USA,(800) 525-5397,,,,"Shipper, Produce,","Onions,",
Griffin-Holder Co Inc,,PO BOX 511,ROCKY FORD,CO,81067-0511,USA,(719) 254-3363,,,,"Grower, Shipper, Produce,","Onions,",
Griffin-Holder Co Inc,,23595 WELD CO RD 62,GREELEY,CO,80631,USA,(800) 525-5397,,,,"Shipper, Produce,","Onions,",
Growers Exchange Co Inc,,PO BOX 368,FORT FAIRFIELD,ME,04742-0368,USA,(207) 473-7861,kirk@growers-exchange.com,(207) 473-7865,,"Buying Broker, Broker, Distributor, Shipper, Produce,","Fruits, Potatoes, Vegetables,",
Gunnels Farms Inc,,47722 COUNTY ROAD C,CENTER,CO,81125-9305,USA,(719) 754-2471,gunnels@seedpotato.com,(719) 754-3882,,"Grower, Packer, Shipper, Produce,","Potatoes, Seed Potatoes,",Http://www.seedpotato.com
Gurda Gardens Ltd,,PO BOX 858,GOSHEN,NY,10924-0858,USA,(845) 374-5741,,(845) 374-7204,,"Broker, Distributor, Grower, Shipper, Produce,","Lettuce, Mixed Vegetables, Onions, PMA Member,",
"Gurda Produce Co, A",,PO BOX 2356,MIDDLETOWN,NY,10940-7831,USA,(845) 258-4422,agurda@optonline.net,(845) 258-4852,,"Grower, Repacker, Shipper, Produce,","Lettuce, Onions, Vegetables,",
Hadley Inc,,83555 AIRPORT BLVD,THERMAL,CA,92274-9127,USA,(760) 399-5191,,(760) 399-1311,,"Grower, Packer, Shipper, Produce,","Dates,",Http://www.hadleys.com
"Hall & Sons, J G",,PO BOX 8,EDINBURG,ND,58227-0008,USA,(701) 993-8334,ghall@polarcomm.com,(701) 894-6114,,"Grower, Shipper, Produce,","Potatoes,",
"Hall & Sons, J G",,RR 1 BOX 33,EDINBURG,ND,58227-,USA,(701) 894-6112,,(701) 894-6114,,"Shipper, Produce,","Potatoes,",
Hall's Produce Inc,,PO Box 358,OAKTOWN,IN,47561-0358,USA,(812) 745-2008,,(812) 745-2007,,"Grower, Packer, Repacker, Shipper, Produce,","Cantaloupes, Melons, Pumpkins, Watermelons,",
"Hansen Produce Inc, Elmer",,PO Drawer A.i.,MOSES LAKE,WA,98837-0010,USA,(509) 765-3638,,(509) 765-6708,,"Sales Agency, Shipper, Produce,","Onions,",
Hartmann Foods Inc,,"7829 Center Blvd SE, #301",SNOQUALMIE,WA,98065-9096,USA,(425) 396-3003,sales@hartmannfoods.com,(917) 464-8272,,"Shipper, Produce,","Apples, Apricots, Asparagus, Cherries, Clementine, Grapes, Kiwi, Lemons, Melons, Nectarines, Onions, Oranges, Peaches, Pears, Peppers, Plums, Pluot, Potatoes, Strawberries, Tangerines,",Http://www.hartmannfoods.com
"Harvey & Son Inc, Glenn",,5011 NICHOLS RD,KALAMAZOO,MI,49004,USA,(269) 353-3255,rick@harveyandson.com,(269) 353-3589,,"Shipper, Produce,","Blueberries, Cabbage, Carrots, Celery, Cherries, Cucumbers, Eggplant, Flowers, Fresh Cut, Fruits, Grapes, Green Beans, Leeks, Lettuce, Onions, Peppers, Plants, Squash, Sweet Corn, Tomatoes, Vegetables,",Http://www.harveyandson.com
"Harvey & Son Inc, Glenn",,5011 Nichols Rd,KALAMAZOO,MI,49004,USA,(269) 353-3255,rick@harveyandson.com,(269) 353-3589,,"Shipper, Produce,","Blueberries, Cabbage, Carrots, Celery, Cherries, Cucumbers, Flowers, Fruits, Green Beans, Lettuce, Lettuce, Onions, Peppers, Tomatoes, Vegetables,",
Hearty Fresh Inc,,PO Box 404,BYRON CENTER,MI,49315,USA,(616) 878-4100,,(616) 878-4140,,"Cold Storage, Packer, Repacker, Shipper, Produce,","Apples, Cauliflower, Celery, Celery Hearts, Cucumbers, Fruits, Mixed Vegetables, Onions, Peppers, Potatoes,",
"Heimos Produce Co Inc, George A",,32 PRODUCE ROW # 42,SAINT LOUIS,MO,63102-1496,USA,(314) 231-3788,jheimos@heimosproduce.com,(314) 621-5156,,"Commission Merchant, Distributor, Jobber, Shipper, Produce,","Apples, Apricots, Artichokes, Asparagus, Avocados, Bananas, Beets, Blackberries, Blueberries, Broccoli, Brussels Sprouts, Cabbage, Cantaloupes, Carrots, Cauliflower, Celery, Cherries, Chili, Citrus Fruits, Coconuts, Cranberries, Dried Fruit, Eggplant, Garlic, Grapefruit, Green Beans, Green Onions, Green Peas, Greens, Herbs, Honeydew Melons, Kiwi, Leeks, Lemons, Lettuce, Limes, Mangoes, Melons, Mushrooms, Nectarines, Okra, Onions, Oranges, Papayas, Peaches, Pears, Peppers, Pineapples, Plums, Potatoes, Pumpkins, Radishes, Raspberries, Romaine, Rutabaga, Salads, Spinach, Sprouts, Squash, Sweet Corn, Sweet Potatoes, Tomatoes, Turnips, Watermelons,",
Henggeler Packing Co Inc,,PO BOX 313,FRUITLAND,ID,83619-0313,USA,(208) 452-4211,henggelerpkg@fmtc.com,(208) 452-5416,,"Grower, Shipper, Produce,","Apples, Peaches, Plums, Prunes,",
Hickenbottom & Sons Inc,,301 WAREHOUSE AVE,SUNNYSIDE,WA,98944-1309,USA,(509) 837-4100,,(509) 837-5130,,"Packer, Shipper, Produce,","Asparagus, Fruits, Peppers, Rutabaga, Squash, Vegetables,",
"Hill Farms Inc, Tull",,2264 HUGO RD,KINSTON,NC,28501-7173,USA,(252) 523-4406,thf98@esn.net,(252) 523-8052,,"Grower, Packer, Shipper, Produce,","Peppers, Potatoes, Sweet Potatoes,",
Hines Farms,,53795 BANNER RD,DELTA,CO,81416-9410,USA,(970) 874-4173,,(970) 874-5401,,"Grower, Packer, Shipper, Produce,","Onions,",
Hollar & Greene Produce Co Inc,,PO BOX 3500,BOONE,NC,28607-0800,USA,(828) 264-2177,info@hollarandgreene.com,(828) 264-4413,,"Shipper, Produce,","Cabbage, PMA Member, Potatoes,",Http://www.hollarandgreene.com
Hollar & Greene Produce Co Inc,,,MOULTRIE,GA,28607,USA,(828) 264-2177,info@hollarandgreene.com,,,"Shipper, Produce,","Cabbage,",Http://www.hollarandgreene.com
"Horton Fruit Co Inc, The",,4701 JENNINGS LN,LOUISVILLE,KY,40218-2967,USA,(502) 969-1371,bbenoit@hortonfruit.com,(502) 964-1515,,"Fresh Cut Processor, Food Service, Jobber, Repacker, Shipper, Produce,","Apples, Bananas, Fresh Cut, Fruit Baskets, Hothouse Veg, Kale, Onions, Packaging Material, Saladmix, Spinach, Tomatoes,",Http://www.hortonfruit.com
Hronis Inc,,10443 Hronis Rd,DELANO,CA,93215-9556,USA,(661) 725-2000,salesdept@hronis.net,(661) 725-5403,,"Grower, Packer, Shipper, Produce,","Grapes, Oranges,",Http://www.hronis.net
Huntsinger Farms Inc,,211 E Mountain Rd,HEGINS,PA,17938-9002,USA,(570) 682-3342,huntsing@epix.net,(570) 682-3419,,"Distributor, Grower, Packer, Repacker, Shipper, Produce,","Potatoes,",
Huron Produce Ltd,,"4051 Camelot Cr, Unit B",LONGMONT,CO,80504,USA,(970) 377-2720,mmiles@huronproduce.com,(970) 535-4024,,"Buying Broker, Distributor, Importer, Repacker, Shipper, Produce,","Cucumbers, Fruits, Greenhouse, Hothouse Cucumbers, Hothouse Peppers, Hothouse Tomato, Hothouse Veg, Hydroponic, Peppers, Tomatoes, Vegetables,",
Interfresh Inc,,2019 W Orangewood Ave,ORANGE,CA,92868,USA,(714) 449-1669,,(714) 385-9099,,"Broker, Distributor, Exporter, Sales Agency, Shipper, Produce,","Apples, Avocados, Cantaloupes, Citrus Fruits, Grapes, Honeydew Melons, Kiwi, Persimmons, Pineapples, PMA Member, Shallots,",Http://www.getinterfresh.com
J & J Ranch Produce Inc,,PO BOX 1861,INDIO,CA,92202-1861,USA,(760) 772-7383,jeffr@jjranchpro.com,(760) 772-7388,,"Distributor, Shipper, Produce,","Apples, Avocados, Cucumbers, Eggplant, Fruits, Grapes, Green Beans, Green Onions, Mixed Vegetables, Peppers, PMA Member, Radishes, Squash, Strawberries, Vegetables,",Http://www.jjranchpro.com
J Michael & Co,,1019 SUMMER HOLLY LN,ENCINITAS,CA,92024-6840,USA,(760) 634-6420,,(760) 634-6424,,"Distributor, Shipper, Produce,","Broccoli, Brussels Sprouts, Celery, Celery, Cherry Tomatoes, Cucumbers, Eggplant, Fruits, Green Beans, Green Onions, Green Peas, Mangoes, Melons, Peppers, Roma, Squash, Strawberries, Sweet Corn, Tangelos, Tomatoes, Vegetables,",
Jacobs Malcolm & Burtt (Inc),,PO BOX 885464,SAN FRANCISCO,CA,94188-5464,USA,(415) 285-0400,jmbproduce@hotmail.com,(415) 285-2056,,"Commission Merchant, Exporter, Importer, Jobber, Shipper, Produce,","Apples, Asparagus, Avocados, Berries, Cantaloupes, Citrus Fruits, Deciduous, Lettuce, Melons, Onions, Potatoes, Radishes, Tomatoes, Tropical Fruits, Tropical Vegetables,",
Jacobs Malcolm & Burtt (Inc),,645 N STOCKTON ST,LODI,CA,95240-0632,USA,(209) 367-0990,,(209) 367-4116,,"Shipper, Produce,","Asparagus, Fruits, Vegetables,",
Jasmine Vineyards Inc,,11239 FAMOSO PORT HWY,DELANO,CA,93215-9460,USA,(661) 792-2141,jvine@jasminevineyards.com,(661) 792-6365,,"Grower, Shipper, Produce,","Grapes, PMA Member,",Http://www.jasminevineyards.com
Jensen Farms Inc,,920 LANE ST,FORT MORGAN,CO,80701-2808,USA,(970) 542-9773,jensfarms@aol.com,(970) 542-0158,,"Grower, Packer, Shipper, Produce,","Onions,",
